"Owner";"Project name";"Language";"Domain";"Commits";"First bot adoption";"Num. of bots"
"lodash";"lodash";"JavaScript";"Non-web libraries and frameworks";"7858";"2016-11-01";"1"
"getlantern";"lantern";"Go";"Application software";"6083";"2014-11-29";"1"
"axios";"axios";"JavaScript";"Web libraries and frameworks";"668";"2015-03-23";"1"
"Microsoft";"TypeScript";"TypeScript";"Software tools";"18969";"2015-01-11";"1"
"ansible";"ansible";"Python";"Software tools";"32353";"2017-01-05";"1"
"elastic";"elasticsearch";"Java";"Software tools";"28565";"2016-07-29";"1"
"TryGhost";"Ghost";"JavaScript";"Application software";"7553";"2016-02-08";"1"
"rust-lang";"rust";"Rust";"System software";"66781";"2014-09-18";"2"
"discourse";"discourse";"Ruby";"Application software";"24268";"2013-02-25";"1"
"babel";"babel";"JavaScript";"Software tools";"8225";"2017-01-20";"1"
"scrapy";"scrapy";"Python";"Non-web libraries and frameworks";"6465";"2015-10-18";"1"
"jashkenas";"underscore";"JavaScript";"Non-web libraries and frameworks";"2391";"2015-06-06";"1"
"Modernizr";"Modernizr";"JavaScript";"Web libraries and frameworks";"2398";"2015-10-08";"1"
"sahat";"hackathon-starter";"CSS";"Web libraries and frameworks";"2138";"2016-02-03";"1"
"scikit-learn";"scikit-learn";"Python";"Non-web libraries and frameworks";"22166";"2017-02-18";"1"
"Unitech";"pm2";"JavaScript";"Software tools";"3677";"2017-08-29";"1"
"facebook";"immutable-js";"JavaScript";"Non-web libraries and frameworks";"1312";"2014-07-30";"1"
"google";"protobuf";"C++";"Non-web libraries and frameworks";"4974";"2014-12-13";"1"
"gohugoio";"hugo";"Go";"Application software";"3642";"2016-02-03";"1"
"mozilla";"pdf.js";"JavaScript";"Web libraries and frameworks";"10060";"2011-10-01";"1"
"zeit";"next.js";"JavaScript";"Web libraries and frameworks";"1479";"2016-11-23";"1"
"danielgindi";"Charts";"Swift";"Non-web libraries and frameworks";"1351";"2016-09-26";"1"
"SwiftyJSON";"SwiftyJSON";"Swift";"Non-web libraries and frameworks";"647";"2017-06-14";"1"
"facebook";"hhvm";"C++";"System software";"23841";"2014-05-17";"2"
"storybooks";"storybook";"JavaScript";"Web libraries and frameworks";"4593";"2017-07-28";"1"
"yabwe";"medium-editor";"JavaScript";"Web libraries and frameworks";"2556";"2015-02-20";"1"
"mobxjs";"mobx";"JavaScript";"Web libraries and frameworks";"1570";"2016-05-24";"2"
"Automattic";"wp-calypso";"JavaScript";"Web libraries and frameworks";"21830";"2017-04-03";"1"
"gdi2290";"angular-starter";"JavaScript";"Web libraries and frameworks";"1724";"2016-04-26";"1"
"mgonto";"restangular";"JavaScript";"Web libraries and frameworks";"837";"2017-01-05";"1"
"Matt-Esch";"virtual-dom";"JavaScript";"Non-web libraries and frameworks";"412";"2014-11-09";"1"
"google";"traceur-compiler";"JavaScript";"Software tools";"1730";"2014-12-03";"1"
"celery";"celery";"Python";"Non-web libraries and frameworks";"10386";"2015-11-25";"2"
"marionettejs";"backbone.marionette";"JavaScript";"Web libraries and frameworks";"3222";"2014-06-25";"1"
"coryhouse";"react-slingshot";"JavaScript";"Web libraries and frameworks";"586";"2016-05-17";"2"
"Mango";"slideout";"JavaScript";"Web libraries and frameworks";"153";"2016-03-24";"1"
"facebook";"xctool";"Objective-C";"Software tools";"1170";"2014-04-28";"1"
"deis";"deis";"Python";"Software tools";"5797";"2014-06-30";"2"
"lovell";"sharp";"JavaScript";"Web libraries and frameworks";"749";"2014-10-23";"1"
"google";"googletest";"C++";"Non-web libraries and frameworks";"1154";"2016-04-22";"1"
"coursera-dl";"coursera-dl";"Python";"Application software";"1036";"2013-12-10";"1"
"quantopian";"zipline";"Python";"Non-web libraries and frameworks";"5196";"2014-06-21";"1"
"mediaelement";"mediaelement";"JavaScript";"Web libraries and frameworks";"4578";"2017-01-18";"1"
"BoltsFramework";"Bolts-ObjC";"Objective-C";"Non-web libraries and frameworks";"466";"2016-04-05";"1"
"sveltejs";"svelte";"TypeScript";"Web libraries and frameworks";"1490";"2017-07-04";"1"
"chef";"chef";"Ruby";"Software tools";"19608";"2014-11-24";"1"
"facebook";"react-devtools";"JavaScript";"Web libraries and frameworks";"970";"2014-10-12";"1"
"kubernetes";"minikube";"Go";"Software tools";"1981";"2016-07-10";"3"
"MichMich";"MagicMirror";"JavaScript";"Non-web libraries and frameworks";"1605";"2017-05-23";"1"
"apache";"incubator-weex";"JavaScript";"Non-web libraries and frameworks";"8669";"2017-03-06";"1"
"erikhuda";"thor";"Ruby";"Non-web libraries and frameworks";"1365";"2013-02-27";"1"
"postgraphql";"postgraphql";"TypeScript";"Non-web libraries and frameworks";"641";"2016-09-04";"1"
"joeldev";"JLRoutes";"Objective-C";"Web libraries and frameworks";"254";"2016-11-08";"1"
"doctrine";"doctrine2";"PHP";"Non-web libraries and frameworks";"10944";"2012-05-23";"2"
"shower";"shower";"HTML";"Web libraries and frameworks";"652";"2015-12-19";"1"
"gevent";"gevent";"Python";"Non-web libraries and frameworks";"4181";"2016-03-22";"1"
"SpaceVim";"SpaceVim";"Vim script";"Software tools";"1633";"2016-12-27";"2"
"google";"git-appraise";"Go";"Software tools";"231";"2015-12-24";"1"
"redfin";"react-server";"JavaScript";"Web libraries and frameworks";"2052";"2016-02-13";"2"
"aws";"aws-sdk-js";"JavaScript";"Web libraries and frameworks";"3677";"2017-04-13";"1"
"django-crispy-forms";"django-crispy-forms";"Python";"Web libraries and frameworks";"1437";"2015-09-08";"1"
"HangfireIO";"Hangfire";"C#";"Non-web libraries and frameworks";"2705";"2017-02-27";"1"
"victorBaro";"VBFPopFlatButton";"Objective-C";"Non-web libraries and frameworks";"96";"2016-02-13";"1"
"ReactTraining";"history";"JavaScript";"Web libraries and frameworks";"835";"2016-05-24";"1"
"rhiever";"tpot";"Python";"Non-web libraries and frameworks";"1349";"2016-03-19";"1"
"octokit";"octokit.rb";"Ruby";"Web libraries and frameworks";"2340";"2013-03-09";"1"
"OpenTSDB";"opentsdb";"Java";"System software";"1459";"2017-06-28";"1"
"ctran";"annotate_models";"Ruby";"Software tools";"814";"2016-03-22";"1"
"haraka";"Haraka";"JavaScript";"Web libraries and frameworks";"4079";"2015-11-22";"2"
"ajalt";"fuckitpy";"Python";"Non-web libraries and frameworks";"47";"2013-12-06";"1"
